Xin chào	Hello
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M2	To have money to buy MacBook Pro M2
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M3	To have money to buy macbook pro m3
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M4	To have money to buy MacBook Pro M4
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M5	To have money to buy MacBook Pro M5
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M6	To have money to buy MacBook Pro M6
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M7	To have money to buy MacBook Pro M7
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M8	To have money to buy MacBook Pro M8
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M9	To have money to buy MacBook Pro M9
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M10	To have money to buy MacBook Pro M10
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M11	To have money to buy MacBook Pro M11
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M12	To have money to buy MacBook Pro M12
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai
Để có tiền mua MacBook pro M13	To have money to buy macbook pro m13
Hi vọng, ngày mai	Hopefully, tomorrow
Nó sẽ không chạy sai	It will not run wrong
Nếu không tôi sẽ không dám nhìn mặt ai	Otherwise I would not dare to look at anyone
Và không đi học vào thứ hai	And not going to school on Monday
Đây là một dòng rất dài	Đây là một dòng rất dài Đây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dàiĐây là một dòng rất dài
Tên tôi là Ivan	My name is Ivan
Các bạn tôi bảo tôi, đẹp trai	My friends told me, handsome
Nên tôi làm startup NaviAI	So I work as a startup Naviai